name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
tarun1475_E-Commerce-Books-App,https://github.com/tarun1475/E-Commerce-Books-App,"Real time second hand books request portal with more than 5000 users registered implemented in Nodejs ,Express & Mysql.",6577,2,2,JavaScript,1,725,8,-1,-1,-1
derekmc_draw15,https://github.com/derekmc/draw15,A minimal drawing app with scene zoom,1327,2,2,JavaScript,0,1222,23,-1,-1,-1
jellyfin_jellyfin-theater-electron,https://github.com/jellyfin/jellyfin-theater-electron,Electron Theater app for Jellyfin,6426,34,34,JavaScript,8,548,19,-1,-1,-1
hyle-team_zano,https://github.com/hyle-team/zano,Secure. Scalable. Easy to Use,23259,25,25,JavaScript,12,803,13,-1,-1,-1
progedu_intro-curriculum-3031,https://github.com/progedu/intro-curriculum-3031,入門コースの3章31節の練習 (ISC License),35,0,0,JavaScript,358,619,478,-1,-1,-1
zaporylie_revealjs-drupal-europe,https://github.com/zaporylie/revealjs-drupal-europe,,9320,0,0,JavaScript,1,2208,272,-1,-1,-1
shellmk_marbles-20181219034614836,https://github.com/shellmk/marbles-20181219034614836,Created for toolchain: https://console.bluemix.net/devops/toolchains/65d65458-62ff-4e34-8eb1-7183019103ee?env_id=ibm%3Ayp%3Aus-south,44021,0,0,JavaScript,0,1185,42,-1,-1,-1
reactjs_uk.reactjs.org,https://github.com/reactjs/uk.reactjs.org,(Work in progress) React documentation website in Ukrainian,71864,66,66,JavaScript,33,5068,1293,-1,-1,-1
accudio-performance_goldenspurtle,https://github.com/accudio-performance/goldenspurtle,Speedtracker Frontend for goldenspurtle.com,979,0,0,JavaScript,0,510,13,-1,-1,-1
eduardoboucas_eduardoboucas.com,https://github.com/eduardoboucas/eduardoboucas.com,✏️ My personal blog/website,57751,67,67,JavaScript,22,1240,13,-1,-1,-1
ThomasFarmer_potree,https://github.com/ThomasFarmer/potree,"potree with (hopefully) improved 3d vector support (shape, kml...)",109166,0,0,JavaScript,0,1244,44,-1,-1,-1
sethjin_kubernetes-ci-cd,https://github.com/sethjin/kubernetes-ci-cd,,1673,0,0,JavaScript,0,515,24,-1,-1,-1
iXingo_WebPage,https://github.com/iXingo/WebPage,A web project using Spring Boot and mybatis,17208,1,1,JavaScript,0,902,5,-1,-1,-1
reactjs_ml.reactjs.org,https://github.com/reactjs/ml.reactjs.org,(Work in progress) React documentation website in Malayalam,71420,10,10,JavaScript,13,4510,1263,-1,-1,-1
uber-workflow_fusion-release,https://github.com/uber-workflow/fusion-release,Releases and verifies FusionJS packages,510,1,1,JavaScript,4,556,8,-1,-1,-1
Atlantis-Software_atlantis-ui,https://github.com/Atlantis-Software/atlantis-ui,"framework for developing responsive, mobile first projects on the web.",15282,0,0,JavaScript,4,760,9,-1,-1,-1
engine262_engine262,https://github.com/engine262/engine262,An implementation of ECMA-262 in JavaScript,1769,92,92,JavaScript,7,776,6,-1,-1,-1
BrandSpa_EW,https://github.com/BrandSpa/EW,,5857,0,0,JavaScript,0,661,4,-1,-1,-1
elsaywang_destination,https://github.com/elsaywang/destination,,4684,0,0,JavaScript,0,1213,24,-1,-1,-1
AtenDesignGroup_intercept-contrib-test,https://github.com/AtenDesignGroup/intercept-contrib-test,,23249,0,0,JavaScript,0,1074,7,-1,-1,-1
LambdaSchool_Sprint-Challenge-Redux-Smurfs,https://github.com/LambdaSchool/Sprint-Challenge-Redux-Smurfs,,378,4,4,JavaScript,1274,4963,1133,-1,-1,-1
imkk-000_workflow-designer,https://github.com/imkk-000/workflow-designer,Workflow Designer for Simple Image Processing,1865,1,1,JavaScript,0,0,0,-1,-1,-1
PerentieGroup_Kchomp,https://github.com/PerentieGroup/Kchomp,Komodo CHains Open Mining Pool,851,0,0,JavaScript,1,962,86,-1,-1,-1
nzffa_nzffa,https://github.com/nzffa/nzffa,An open source Radiant CMS based membership management system for the New Zealand Farm Forestry Association ,18806,1,1,JavaScript,0,1167,9,-1,-1,-1
eoscafedac_eosalarmbot,https://github.com/eoscafedac/eosalarmbot,,445,0,0,JavaScript,0,671,6,-1,-1,-1
uber-web_loaders.gl,https://github.com/uber-web/loaders.gl,Framework independent 3D and geospatial loaders:,37013,44,44,JavaScript,11,911,21,-1,-1,-1
Preece_Frauki,https://github.com/Preece/Frauki,,210853,22,22,JavaScript,4,1804,6,-1,-1,-1
gokhalehemal11_gokhalehemal11.github.io,https://github.com/gokhalehemal11/gokhalehemal11.github.io,,333926,0,0,JavaScript,0,1047,35,-1,-1,-1
mathjax_mathjax-v3,https://github.com/mathjax/mathjax-v3,A repository for early stages of MathJax v3 ,11874,89,89,JavaScript,21,2176,12,-1,-1,-1
nebiolabs_plate-map,https://github.com/nebiolabs/plate-map,A flexible tool for defining the contents of 96 well plates.,1266,13,13,JavaScript,10,549,18,-1,-1,-1
newamericafoundation_newamerica-data-projects,https://github.com/newamericafoundation/newamerica-data-projects,,4677,0,0,JavaScript,1,846,14,-1,-1,-1
SyarifZapata_ssb-db-clone,https://github.com/SyarifZapata/ssb-db-clone,,671,0,0,JavaScript,0,1030,24,-1,-1,-1
stevesims_govuk-frederic,https://github.com/stevesims/govuk-frederic,,5575,3,3,JavaScript,1,549,17,-1,-1,-1
ccnmtl_polarexplorer,https://github.com/ccnmtl/polarexplorer,,56353,0,0,JavaScript,0,1757,19,-1,-1,-1
saarad_HverdagsHelt,https://github.com/saarad/HverdagsHelt,"Web-application that lets users nationwide (Norway) register issues in their community, like issues with the road, power, water etc. The application lets employees of the community then see the issues and assign companies registered in the system to fix them. ",57784,0,0,JavaScript,0,742,10,-1,-1,-1
davidfekke_jaxnode,https://github.com/davidfekke/jaxnode,Source for the jaxnode.com site,19955,0,0,JavaScript,5,542,4,-1,-1,-1
dhis2_ui-core,https://github.com/dhis2/ui-core,Re-work of d2-ui,9283,7,7,JavaScript,0,1508,25,-1,-1,-1
RadoslavGeorgiev_wcvie-2019-for-meetups,https://github.com/RadoslavGeorgiev/wcvie-2019-for-meetups,,8118,0,0,JavaScript,0,2207,273,-1,-1,-1
wangyi160_marbles-20181109061227946,https://github.com/wangyi160/marbles-20181109061227946,Created for toolchain: https://console.bluemix.net/devops/toolchains/a1b448f4-5374-49d0-a702-211db0bbda16?env_id=ibm%3Ayp%3Aus-east,44017,0,0,JavaScript,0,1185,42,-1,-1,-1
Julie-Barre_node,https://github.com/Julie-Barre/node,,558,0,0,JavaScript,0,1426,6,-1,-1,-1
