name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
LibrIT_passhport,https://github.com/LibrIT/passhport,OpenSSH proxy gateway,1992,15,15,Python,9,900,20,-1,-1,-1
angr_claripy,https://github.com/angr/claripy,An abstraction layer for constraint solvers.,2427,94,94,Python,56,2458,68,-1,-1,-1
rltillett_2019-03-28-davis,https://github.com/rltillett/2019-03-28-davis,,3087,0,0,Python,0,1500,160,-1,-1,-1
carmenalab_brain-python-interface,https://github.com/carmenalab/brain-python-interface,,15804,3,3,Python,1,3551,41,-1,-1,-1
mleverance_2019-03-18-uark,https://github.com/mleverance/2019-03-18-uark,"University of Arkansas Software Carpentry workshop website for March 18-19, 2019",3153,0,0,Python,0,1504,160,-1,-1,-1
swarris_longread-assemblies,https://github.com/swarris/longread-assemblies,,4082,0,0,Python,0,551,54,-1,-1,-1
bashtage_randomgen,https://github.com/bashtage/randomgen,Numpy-like random number generator that supports multiple core pseudo RNGs and explicitly parallel generation.,17202,32,32,Python,9,609,8,-1,-1,-1
geopython_pywps,https://github.com/geopython/pywps,PyWPS is an implementation of the Web Processing Service standard from the Open Geospatial Consortium. PyWPS is written in Python.,14099,95,95,Python,97,2919,89,-1,-1,-1
fomightez_sequencework,https://github.com/fomightez/sequencework,"programs and scripts, mainly python, for analyses related to nucleic or protein sequences",3089,5,5,Python,2,909,3,-1,-1,-1
AGProjects_sylkserver,https://github.com/AGProjects/sylkserver,SIP/WebRTC Application Server,218563,76,76,Python,21,1186,6,-1,-1,-1
ncsurobotics_seawolf,https://github.com/ncsurobotics/seawolf,Seawolf Software Platform,51038,6,6,Python,6,1510,59,-1,-1,-1
xgfone_snippet,https://github.com/xgfone/snippet,The code snippets of all kinds of languages and some docs.,17172,19,19,Python,10,1054,3,-1,-1,-1
openeobs_openeobs,https://github.com/openeobs/openeobs,An e-observations and ward management tool for Acute and Mental Health hospitals.,16184,22,22,Python,11,7301,39,-1,-1,-1
nexdatas_recselector,https://github.com/nexdatas/recselector,Tango server of Component Selector -- selector of user configuration for NeXus/HDF5 files ,4027,1,1,Python,1,1062,5,-1,-1,-1
mahajrod_MAVR,https://github.com/mahajrod/MAVR,various bioinformatic instruments,13532,5,5,Python,4,3468,5,-1,-1,-1
c3cashdesk_postix,https://github.com/c3cashdesk/postix,Cashdesk system used at Chaos Communication Congress,2702,43,43,Python,4,890,12,-1,-1,-1
mauriciovasquezbernal_stgit,https://github.com/mauriciovasquezbernal/stgit,,1518,0,0,Python,0,1657,73,-1,-1,-1
BlackLight_platypush,https://github.com/BlackLight/platypush,The ultimate platform for home automation experiences and much more,1815,39,39,Python,2,1134,3,-1,-1,-1
murraycadzow_2018-09-13-ttt-online,https://github.com/murraycadzow/2018-09-13-ttt-online,,2926,0,0,Python,1,1160,115,-1,-1,-1
bsurc_2018-09-21-sc,https://github.com/bsurc/2018-09-21-sc,,1696,0,0,Python,0,1172,118,-1,-1,-1
AngelFP_VisualPIC,https://github.com/AngelFP/VisualPIC,Data visualizer for PIC codes.,7074,6,6,Python,1,626,6,-1,-1,-1
sClarkeIsBack_StreamHub,https://github.com/sClarkeIsBack/StreamHub,,127525,7,7,Python,11,620,5,-1,-1,-1
CGATOxford_CGATPipelines,https://github.com/CGATOxford/CGATPipelines,Collection of CGAT NGS Pipelines,280628,34,34,Python,17,5544,83,-1,-1,-1
openstax_os-automation,https://github.com/openstax/os-automation,Page object testing for OpenStax products,866,2,2,Python,0,556,12,-1,-1,-1
City-of-Helsinki_respa,https://github.com/City-of-Helsinki/respa,Django application for resource reservation,2485,11,11,Python,22,1840,34,-1,-1,-1
sbamin_2018-09-26-dummy,https://github.com/sbamin/2018-09-26-dummy,,2951,0,0,Python,0,1330,142,-1,-1,-1
willjschmitt_joulia-webserver,https://github.com/willjschmitt/joulia-webserver,Webserver and logging for electric brewing controller connecting distributed users to the equipment.,7930,0,0,Python,0,578,4,-1,-1,-1
datosgobar_series-tiempo-ar-api,https://github.com/datosgobar/series-tiempo-ar-api,Aplicación en Django y ElasticSearch de la API de series de tiempo basada en el Perfil Nacional de Metadatos de la política de apertura de datos de la APN.,33740,14,14,Python,4,1948,15,-1,-1,-1
jnsebgosselin_gwhat,https://github.com/jnsebgosselin/gwhat,Ground-Water Hydrograph Analysis Toolbox,100785,12,12,Python,2,2721,4,-1,-1,-1
HEP-KBFI_tth-htt,https://github.com/HEP-KBFI/tth-htt,"code and python config files for ttH, H -> tautau analysis with matrix element techniques",129194,1,1,Python,8,5185,24,-1,-1,-1
clintbellanger_flare-game,https://github.com/clintbellanger/flare-game,Fantasy action RPG using the FLARE engine,848988,13,13,Python,7,7188,102,-1,-1,-1
voxel51_eta,https://github.com/voxel51/eta,ETA: Extensible Toolkit for Analytics,8368,13,13,Python,5,3118,29,-1,-1,-1
colons_nkd.su,https://github.com/colons/nkd.su,A Neko Desu request robot.,4162,4,4,Python,2,1115,14,-1,-1,-1
hemberg-lab_MicroExonator,https://github.com/hemberg-lab/MicroExonator,Snakemake pipeline for microexon discovery and quantification,624,2,2,Python,0,508,7,-1,-1,-1
aras999_yowsup,https://github.com/aras999/yowsup,,1415,0,0,Python,0,1405,94,-1,-1,-1
plone_plone.app.content,https://github.com/plone/plone.app.content,"Various views for Plone, such as folder_contents, as well as general content infrastructure, such as base classes and name choosers.",1197,5,5,Python,29,1089,128,-1,-1,-1
itf_6s092,https://github.com/itf/6s092,The 6s092 catsoop repo clone from mit github,1309,0,0,Python,0,729,11,-1,-1,-1
biosol_2019-04-11-EHUworkshop,https://github.com/biosol/2019-04-11-EHUworkshop,,3102,0,0,Python,0,1502,161,-1,-1,-1
mozilla-services_server-syncstorage,https://github.com/mozilla-services/server-syncstorage,"The SyncServer server software, as used by Firefox Sync",2595,59,59,Python,22,1162,31,-1,-1,-1
reconstruir_bes,https://github.com/reconstruir/bes,bes is a set collection of generic python (2 and 3) classes to help write tools.,1009,0,0,Python,0,932,1,-1,-1,-1
JulianYG_perls,https://github.com/JulianYG/perls,SteamVR - BulletPhysics - ROS interface,200531,3,3,Python,0,1034,8,-1,-1,-1
etcher-be_epab,https://github.com/etcher-be/epab,,5955,1,1,Python,0,1067,10,-1,-1,-1
lanl_Pavilion,https://github.com/lanl/Pavilion,HPC testing harness ,17901,15,15,Python,11,563,23,-1,-1,-1
openstack_openstack-doc-tools,https://github.com/openstack/openstack-doc-tools,Tools used by OpenStack Documentation,2557,64,64,Python,20,2924,103,-1,-1,-1
andela_wg-justice-league,https://github.com/andela/wg-justice-league,Self hosted FLOSS fitness/workout and weight tracker written with Django,30925,0,0,Python,0,3887,38,-1,-1,-1
themightyoarfish_ikkuna,https://github.com/themightyoarfish/ikkuna,Exploring signals to supervise neural network training :diamond_shape_with_a_dot_inside:,21141,4,4,Python,1,621,4,-1,-1,-1
datacarpentry_genomics-r-intro,https://github.com/datacarpentry/genomics-r-intro,,11109,5,5,Python,19,723,63,-1,-1,-1
wwood_singlem,https://github.com/wwood/singlem,De-novo OTUs from shotgun metagenomes,209990,17,17,Python,6,501,4,-1,-1,-1
sveinhansen_svtplay-dl-sh2,https://github.com/sveinhansen/svtplay-dl-sh2,Updates,2752,0,0,Python,0,2055,49,-1,-1,-1
BobStein_qiki-python,https://github.com/BobStein/qiki-python,,2741,0,0,Python,0,504,3,-1,-1,-1
NREL_streamm-tools,https://github.com/NREL/streamm-tools,,17151,3,3,Python,3,1156,19,-1,-1,-1
CSIRO-enviro-informatics_gsq-ckanext-scheming,https://github.com/CSIRO-enviro-informatics/gsq-ckanext-scheming,,645,0,0,Python,0,582,23,-1,-1,-1
peaktogoo_HarukaAya,https://github.com/peaktogoo/HarukaAya,Bot that help me manage my group because I'm lazy,2471,1,1,Python,26,805,43,-1,-1,-1
tamasgal_km3pipe,https://github.com/tamasgal/km3pipe,Extemporary analysis framework for KM3NeT,102114,10,10,Python,3,6738,28,-1,-1,-1
