name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
hortonworks_ratis,https://github.com/hortonworks/ratis,A java implementation of Raft protocol for Hadoop ecosystem,4111,56,56,Java,12,939,31,-1,-1,-1
qutebrowser_qutebrowser,https://github.com/qutebrowser/qutebrowser,"A keyboard-driven, vim-like browser based on PyQt5.",41180,4698,4698,Python,638,21475,500,-1,-1,-1
ctrl-alt-d_django-aula,https://github.com/ctrl-alt-d/django-aula,"Gestió de presencia, incidències i més en centres educatius i acadèmies.",81647,12,12,Python,9,1181,20,-1,-1,-1
feedhenry_fh-template-apps,https://github.com/feedhenry/fh-template-apps,FeedHenry Template App Configuration,2786,1,1,JavaScript,62,1271,104,-1,-1,-1
OpenViX_skins,https://github.com/OpenViX/skins,,102388,6,6,Python,20,2075,30,-1,-1,-1
flass_pantagruel,https://github.com/flass/pantagruel,a pipeline for reconciliation of phylogenetic histories within a bacterial pangenome,6940,22,22,Python,2,1127,3,-1,-1,-1
chriscauley_unrest,https://github.com/chriscauley/unrest,,846,2,2,JavaScript,2,640,3,-1,-1,-1
cherrypy_cherrypy,https://github.com/cherrypy/cherrypy,"CherryPy is a pythonic, object-oriented HTTP framework.      https://docs.cherrypy.org/",27364,1013,1013,Python,249,7710,211,-1,-1,-1
kdudka_csmock,https://github.com/kdudka/csmock,A mock wrapper for Static Analysis tools,406,9,9,Python,2,602,10,-1,-1,-1
mbernardeau_Road-to-Russia-2018,https://github.com/mbernardeau/Road-to-Russia-2018,,11587,0,0,JavaScript,0,2319,13,-1,-1,-1
novoda_download-manager,https://github.com/novoda/download-manager," A library that handles long-running downloads, handling the network interactions and retrying downloads automatically after failures",239878,450,450,Java,53,3189,65,-1,-1,-1
TeamVoyage_Voyage,https://github.com/TeamVoyage/Voyage,Voyage: Plan your next getaway.. Collaboratively ,1633,0,0,JavaScript,14,645,20,-1,-1,-1
knime-ip_knip,https://github.com/knime-ip/knip,KNIME Image Processing Extension ,222376,42,42,Java,7,2504,56,-1,-1,-1
noahbenson_neuropythy,https://github.com/noahbenson/neuropythy,"A neuroscience library for Python, intended to complement the existing nibabel library.",24717,40,40,Python,9,771,7,-1,-1,-1
openstack_trove,https://github.com/openstack/trove,OpenStack Database As A Service (Trove),58863,249,249,Python,207,31108,743,-1,-1,-1
the-blue-alliance_the-blue-alliance-android,https://github.com/the-blue-alliance/the-blue-alliance-android,An Android app for accessing information about the FIRST Robotics Competition.,89451,66,66,Java,35,3440,35,-1,-1,-1
StevenBlack_hosts,https://github.com/StevenBlack/hosts,"Extending and consolidating hosts files from several well-curated sources like adaway.org, mvps.org, malwaredomainlist.com, someonewhocares.org, and potentially others.  You can optionally invoke extensions to block additional sites by category. ",99722,13042,13042,Python,1148,2293,128,-1,-1,-1
GerritCodeReview_git-repo,https://github.com/GerritCodeReview/git-repo,repo - The Multiple Git Repository Tool - (mirror of http://gerrit.googlesource.com/git-repo),6813,5,5,Python,1,11993,590,-1,-1,-1
hull-ships_hull-segment,https://github.com/hull-ships/hull-segment,Segment Ship,4062,0,0,JavaScript,4,600,22,-1,-1,-1
ryanfarr01_blue,https://github.com/ryanfarr01/blue,,6306,0,0,Python,0,2699,28,-1,-1,-1
osimmons73_l3-Webapp,https://github.com/osimmons73/l3-Webapp,,14159,0,0,JavaScript,0,2452,189,-1,-1,-1
geovannichavez_YoComproRECARGA,https://github.com/geovannichavez/YoComproRECARGA,,262807,0,0,Java,0,543,6,-1,-1,-1
olivierfriard_BORIS,https://github.com/olivierfriard/BORIS,Behavioral Observation Research Interactive Software,63639,41,41,Python,9,1319,10,-1,-1,-1
SCCapstone_DJ-VJ,https://github.com/SCCapstone/DJ-VJ,A tool for VJs to create automated performances,107121,0,0,Python,0,544,12,-1,-1,-1
burgesQ_wamow,https://github.com/burgesQ/wamow,Want More Work platform developed in PHP Symfony 2.7 ,39800,0,0,JavaScript,0,1534,22,-1,-1,-1
digihaus_monogatari,https://github.com/digihaus/monogatari,(deprecated) JavaScript game engine,14256,2,2,JavaScript,0,693,12,-1,-1,-1
AlexandreDecan_sismic,https://github.com/AlexandreDecan/sismic,Sismic Interactive Statechart Model Interpreter and Checker http://sismic.readthedocs.org/,2998,49,49,Python,8,1235,13,-1,-1,-1
AceroM_japanese-toilets,https://github.com/AceroM/japanese-toilets,,24457,0,0,JavaScript,0,545,26,-1,-1,-1
cerberustesting_cerberus-source,https://github.com/cerberustesting/cerberus-source,User-friendly automated testing framework.,151274,77,77,Java,57,5620,91,-1,-1,-1
oracle_helidon,https://github.com/oracle/helidon,Java libraries for writing microservices,7427,1453,1453,Java,199,2052,62,-1,-1,-1
