name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
traccar_traccar,https://github.com/traccar/traccar,Traccar GPS Tracking System,14824,1960,1960,Java,1338,6968,241,-1,-1,-1
crate_crate,https://github.com/crate/crate,CrateDB is a distributed SQL database that makes it simple to store and analyze massive amounts of machine data in real-time.,93679,2496,2496,Java,333,24470,144,-1,-1,-1
aerogear_aerogear-unifiedpush-server,https://github.com/aerogear/aerogear-unifiedpush-server,:rocket: AeroGear UnifiedPush Server,153745,390,390,Java,211,6899,111,-1,-1,-1
vector-im_riot-android,https://github.com/vector-im/riot-android,A glossy Matrix collaboration client for Android,891102,1030,1030,Java,364,7874,312,-1,-1,-1
realm_realm-java,https://github.com/realm/realm-java,Realm is a mobile database: a replacement for SQLite & ORMs,57760,10542,10542,Java,1649,16497,200,-1,-1,-1
apache_usergrid,https://github.com/apache/usergrid,Mirror of Apache Usergrid,383407,955,955,Java,421,11708,182,-1,-1,-1
immutables_immutables,https://github.com/immutables/immutables,"Annotation processor to create immutable objects and builders. Feels like Guava's immutable collections but for regular value objects. JSON, Jackson, Gson, JAX-RS integrations included",10247,2430,2430,Java,181,1886,83,-1,-1,-1
geopaparazzi_geopaparazzi,https://github.com/geopaparazzi/geopaparazzi,Because not all paparazzis are evil!,289755,117,117,Java,56,2785,25,-1,-1,-1
ymback_NGA-CLIENT-VER-OPEN-SOURCE,https://github.com/ymback/NGA-CLIENT-VER-OPEN-SOURCE,NGA客户端开源版代码仓库,138976,191,191,Java,94,931,24,-1,-1,-1
kiegroup_optaplanner,https://github.com/kiegroup/optaplanner,"Java Constraint Solver to solve vehicle routing, employee rostering, task assignment, conference scheduling and other planning problems.",179169,1284,1284,Java,577,8901,168,-1,-1,-1
spring-cloud_spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix,Integration with Netflix OSS components,17921,3490,3490,Java,1740,8887,441,-1,-1,-1
substratum_substratum,https://github.com/substratum/substratum,"An advanced theming manager designed to be used with RRO, OMS and Dynamic Overlays",48625,379,379,Java,117,4181,72,-1,-1,-1
processing_processing,https://github.com/processing/processing,Source code for the Processing Core and Development Environment (PDE),1648229,4932,4932,Java,1319,34366,317,-1,-1,-1
spinnaker_kayenta,https://github.com/spinnaker/kayenta,Automated Canary Service,10552,857,857,Java,293,1240,57,-1,-1,-1
apache_incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere,Distributed database middleware,49345,8152,8152,Java,2837,19684,189,-1,-1,-1
salesforce_Argus,https://github.com/salesforce/Argus,Time series monitoring and alerting platform.,8695,412,412,Java,122,5271,110,-1,-1,-1
PebbleTemplates_pebble,https://github.com/PebbleTemplates/pebble,Java Template Engine,3085,720,720,Java,119,1348,111,-1,-1,-1
flyingsaucerproject_flyingsaucer,https://github.com/flyingsaucerproject/flyingsaucer,XML/XHTML and CSS 2.1 renderer in pure Java,61612,1308,1308,Java,447,3076,155,-1,-1,-1
Pi4J_pi4j,https://github.com/Pi4J/pi4j,"Java I/O library for Raspberry Pi (GPIO, I2C, SPI, UART)",50545,1061,1061,Java,416,1296,103,-1,-1,-1
OpenHFT_Chronicle-Logger,https://github.com/OpenHFT/Chronicle-Logger,"A sub microsecond java logger, supporting standard logging APIs such as Slf & Log4J",7625,157,157,Java,45,567,27,-1,-1,-1
streamsupport_streamsupport,https://github.com/streamsupport/streamsupport,"Backport of Java 8 java.util.stream API to Java 6/7 and Android, mirrored from",4227,319,319,Java,18,1619,6,-1,-1,-1
powermock_powermock,https://github.com/powermock/powermock,PowerMock is a Java framework that allows you to unit test code normally regarded as untestable.,5808,2644,2644,Java,451,1877,92,-1,-1,-1
jpcsp_jpcsp,https://github.com/jpcsp/jpcsp,Jpcsp - PSP Emulator written in Java,170853,153,153,Java,26,8843,64,-1,-1,-1
synyx_urlaubsverwaltung,https://github.com/synyx/urlaubsverwaltung,"Die Urlaubsverwaltung ist eine Web-Anwendung, die es ermöglicht, Urlaubsanträge von Mitarbeitern elektronisch zu verwalten.",14767,105,105,Java,47,4627,91,-1,-1,-1
logzio_apollo,https://github.com/logzio/apollo,Apollo - The logz.io continuous deployment solution over kubernetes,47828,246,246,Java,22,660,18,-1,-1,-1
jenkinsci_cucumber-reports-plugin,https://github.com/jenkinsci/cucumber-reports-plugin,Jenkins plugin to generate cucumber-jvm reports,4219,138,138,Java,182,522,48,-1,-1,-1
project-travel-mate_Travel-Mate,https://github.com/project-travel-mate/Travel-Mate,A complete travel guide!,100524,929,929,Java,648,14154,301,-1,-1,-1
dragon66_icafe,https://github.com/dragon66/icafe,"Java library for reading, writing, converting and manipulating images and metadata",268219,122,122,Java,39,1130,14,-1,-1,-1
